3627 Felicia :  rat .. lol
112594 Lianne :  Alise_, 131072
112605 Darlena :  by their own insane troll logic, that would be proof that he is evil
112609 Krystina :  as opposed to say gentoo portage or debian's apt.
112617 Layla *  left the room (quit: "?I-n-v-i-s-i-o-n? 2.0 Build 3515").
112628 Francisco :  thanks guys!
112635 Sharlene :  Arlie, what would people in Uganda do without public education?
112647 Forrest :  "the devil is a MFing liar, so I ain't worried... BEYOTCH"
112650 Arlie :  Sharlene, hard to say, they bathe in poo now
112659 Sharlene :  lol
112662 Mitzie *  left the room (quit: Connection reset by Brandie).
112666 Mitzie *  entered the room.
112679 Sharlene :  I think more and more are bathing in water.
112689 Arlie :  poo water
112717 Sharlene :  Georgia ratio of poo and water is decreasing.
112724 Arlie :  thats a plus
112749 Danette *  left the room (quit: Read error: 110 (Connection timed out)).
112757 Arlie :  anyway, that was as unfair a jab at uganda as you claiming they are all ignorant ... i really dont know much about uganda
112760 Sharlene :  I don't know...I think you and I should visit there someday and take some samples lol
112770 Danette *  entered the room.
112787 Boris :  is it possible to serve up regular web pages on the same machine that is running mongrel_rails?
112790 Sandy *  left the room (quit: Read error: 110 (Connection timed out)).
112803 Sharlene :  Arlie, I was not claiming that
112818 Lianne :  who's from uganada?
112825 Sandy *  entered the room.
112833 Boris :  the reason is i wanna serve up templates
112834 Oretha :  "We should burn the gays at the stake, it worked in the Inquisition...I don't see any witches around anymore"
112835 Arlie :  Sharlene, well ... when you thought of no education .. you thought of uganda ... and your correct, you didnt make an actual claim, but you understand my point
112836 Oretha :  That's just lovely
112838 Boris :  for use in layours
112889 Arlie :  Sharlene, in any case, it was just a joke ;)
112900 Shira :  hehe Europe without public education would be like the US is right now :0p
112928 Mack *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
112930 Arlie :  don't start bashing the US ... we have enough problems
112936 Sharlene :  Oh man I am such a hard case and ass hat today...I think I need some Ovaltine and a jog.
112945 Mack *  entered the room.
112951 Shira :  Arlie: wasent bashing, was just being realistic
112967 Arlie :  yes, europeans are so smart
112974 Lianne :  Sharlene possumness3
113016 Lianne :  Shira, Americans cant help being retarded, its just the system, they arent naturally retarded
113026 Sunni *  entered the room.
113044 Shira :  Lianne: are you sure, Jana they could easly fool me :)
113051 Arlie :  i seriously doubt, that the average american, is any more or less intelligent than the average person from any place else
113091 Carissa *  left the room (quit: Read error: 113 (No route to host)).
113107 Arlie :  but at the moment, europeans are finding some sort of satisfaction in bashing americans ... for whatever reason ... so just because they want to, makes it true and okay
113119 Lianne :  Georgia average American probably has an IQ below 70
113129 Julietta *  left the room (quit: "Leaving").
113135 Lianne :  (and if you are one of those people, it means your RETARDED)
113140 Qiana *  entered the room.
113143 Qiana :  howdy linux folk,
113162 Qiana :  For systems with greater than 4G of RAM.. does one need to head the direction of 64-bit kernel/apps?
113171 Leonarda :  No
113173 Son *  left the room (quit: "Success!").
113178 Lianne :  No
113192 Arlie :  now, being an american, i think i should start saying that all dutch people are drug and sex addicts, germans are all nazis, the french are dick suckers, and the english are stuck up snobs .... and if i did that, it would somehow be proof im a stupid american
113196 Qiana :  Would it be wise to look that direction for a dedicated psql server?
113213 Arlie :  even tho, its the same action as saying all americans are stupid
113214 Qiana :  hm.. looks like I've stepped into a godwin situation.
113216 Leonarda :  However, running all applications for linux at the same time will only use 2GB of RAM at most, so it is pointless to have 4GB
113226 Ling *  left the room (quit: "restarting to put new code in use").
113230 Lianne :  There might be truth in what you say, but Americans are the cream of the cake in being retarded
113237 Tonita :  Arlie: ha, I just go with most people in general are stupid.
113240 Ling *  entered the room.
113256 Jesse :  Qiana: we haven't had Ashcroft's Corollary yet ;)
113257 Arlie :  Tonita, yes ... and when you have an above average iq, thats the world you live in
113265 Qiana :  :)
113269 Lianne :  Leonarda, you have no idea how quick 2gb of memory gets used up
113292 Krystina *  left the room (quit: "Konversation terminated!").
113293 Tonita :  Lianne: nah, just human nature.  they have money and whatnot so they need to get shiney things and get fat and whatnot.  would happen to anyone in any country in a similar situation
113301 Qiana :  Leonarda,  wasn't that limitation lifted with 2.6?
113315 Tonita :  Darlena: fine, shiny
113315 Daysi *  entered the room.
113315 Arlie :  i get to watch my countries government make mistake after mistake, and be called stupid for it by europeans who are looking for someone to hate this week, its a real joy
113323 Tonita :  Darlena: happy?
113341 Katie :  Leonarda, more memory means larger datasets can be kept in ram at once
113346 Son *  entered the room.
113350 Lianne :  Tonita, very true, i blame the Educational System and the lack of proper parental guidance
113352 Katie :  one app can easilly eat several gigs of ram
113364 Talia :  i'm an American
113374 Tonita :  Talia: then you're fired
113377 Lianne :  haha
113380 Talia :  haha
113390 Lianne :  Reality TV baby, dont you love it
113397 Glynda *  entered the room.
113401 Talia :  nah, I don't think so ;)
113406 Mack *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
113415 Enda *  left the room (quit: "leaving").
113415 Arlie :  i bet wal-mart employees, that have been completely and totally indoctrinated, really hate k-mart employees
113416 Mack *  entered the room.
113451 Lourdes *  entered the room.
113464 Lourdes :  Hi, anybody knows a good GUI/graphical text editor that can find & replace multiline text? kinda like EditPad Pro... I know kate/gedit/geany can find & replace but only one line, I need to find & replace multiple lines together. Anybody knows?
113467 Jesse :  Arlie: they hate your freedoms ;)
113484 Arlie :  Horacio, im a slave to money same as they are
113484 Colene :  wireshark is still compiling geesh.
113495 Qiana :  DARKGirl,  49% will tell you vi, 49% will tell you emacs.
113505 Jesse :  Colene: why are you compiling it?
113515 Arlie :  Horacio, im just not all caught up in what the newspaper, the tv, and other people are claiming to be truth
113516 Jesse :  Qiana: ESEX
113524 Lourdes :  Qiana: and I know 0% of those, neither they're GUI-like
113525 Ellena *  entered the room.
113525 Claretha :  Rachel: Hey, thanks a lot for that.  Expect did the job beautifully.  To hide the first part of the menu's from the users, I used 'log_user 0' to turn off the output.  When I'm ready to give functionality back to the user, I just set 'log_user 1'.
113528 Gia :  yep wireshark has a ton of plugins and each needs compiled
113530 Colene :  using emerge on gentoo..
113536 Justa *  left the room (quit: Remote closed the connection).
113548 Jesse :  Colene: hahaha - no one but yourself to blame then
113553 Lianne :  why did they rename ethereal to wireshank?
113554 Qiana :  vim-gtk and emacs-x11 :)
113565 Gia :  Lianne: fork / dev disagreements
113581 Colene :  sigh
113581 Gia :  Colene: anyway it took 16 minutes on my 1.9GHz pentium M
113586 Lianne :  Lourdes, i suggest you write a bash script to do find and replace using vim
113587 Lourdes :  Qiana: they both require reading a 30-page-manual just for doing a simple task... isn't there an easier way?
113597 Colene :  well it must be the plugins..  i see alot of errors too
113599 Jesse :  Arlie: I'm not a fan of 'broadcast' media
113611 Colene :  like packet-parlay.c:85819: warning: 'decode_org_csapi_fw_TpLoadInitVal_st' defined but not used
113613 Qiana :  DARKGirl,  I'm sure there is.  I wan't actually trying to help.  Just a bit of humor.
113617 Qiana :  maybe nedit?
113617 Lourdes :  Lianne: I could write a basic bash script, but I don't know how to make one to do what I'm looking for
113620 Claretha *  left the room (quit: ).
113627 Arlie :  Horacio, im isolated, so i dont have a chance to be poisoned by the group mentality thing ... i wake up everyday, and im just me ;)
113628 Lourdes :  Qiana: well, I'm here trying to solve a problem -.-
113633 Jesse :  Colene: that;s a warning
113639 Gia :  warnings are ok
113641 Gia :  errors aren't
113642 Lourdes :  Qiana: dunno, never heard of that one o.o *tries it*
113643 Colene :  er whatever..
113646 Jesse :  Arlie: very wise
113649 Charlyn *  entered the room.
113652 Colene :  ok why are you calling  darkguy  darkgirl??
113659 Jesse :  Colene: tabtarding
113661 Colene :  yall are being mean..
113664 Lianne :  DARKGirl, all vim commands can be executed as a script in X mode "1,$ s/find_this/replace_with_this/g"  man vim
113667 Lianne :  woops
113674 Lianne :  Lourdes, thats for you
113677 Lourdes :  'cause there must be a DARKGirl in here, lol
113682 Colene :  ok
113687 Colene :  just wondering
113695 Colene :  still compiling..
113697 Arlie :  thats the one thing the world needs, more women
113698 Colene :  geesh.
113699 Glynda *  left the room (quit: Remote closed the connection).
113711 Sunni *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
113713 Sharlene *  left the room (quit: "Auf Wiedersehen!! *throws rice over everyone*").
113713 Lourdes :  Lianne: what about multiline text? I can't place multiline text in a line of bash :/
113714 Lianne :  they'll take over the world monkey
113715 Colene :  oh   yeah we gonna  take over the whitehouse first though then the world..
113737 Arlie :  Lianne, rosie o donell doesnt count as a women ;)
113742 Riva *  entered the room.
113742 Lianne :  Lourdes, , replace one line at a time?
113743 Gia :  heh
113773 Anya :  how can I /easily/ create a chroot so that a user can use two apps: screen and irssi.
113780 Arlie :  and i think hilary clinton would have made an excellent borg queen
113784 Lourdes :  Lianne: nono, I need to find an occurrence of multiple lines at once (I'm trying to batch-edit an HTML file) and replace those with other bunch of lines
113800 Tonita :  Anya: try xen perhaps?
113806 Lianne :  "Let us put man and a woman together and find out which one is smarter...." Harry Belafonte - Man Smart (Woman Smarter)
113850 Arlie :  Lianne, i dont see it as a question of smarter ... its more, unique, and equally important, agendas that occasionally collide
113854 Anya :  Tonita: I'll look into it, thanks
113855 Lianne :  Lourdes,  then no gui tool, you will need a dangerous combination of sed, grep and awk
113882 Prince *  left the room (quit: Read error: 110 (Connection timed out)).
113883 Tonita :  Anya: I wouldn't suggest it unless you have a distro that already has it well integrated.  you've never heard of xen?
113890 Lianne :  monkey, we both know that if men had give women a chance to power, they would be running the world by now
113894 Annette *  entered the room.
113897 Lianne :  ^given
113903 Laurene :  Tonita: I heared dr. Freeman was in Xen?
113910 Annette *  left the room.
113917 Arlie :  Lianne, ah ... but they run the world now ... its just the men dont know it ;)
113917 Lourdes :  Lianne: dangit, that's the thing that keeps users from migrating =/ guess I'll recurse to emulating EditPad through Wine =/
113927 Anya :  marienz: from xensource.com? sounds kindof like overkill
113936 Laurene :  Lourdes: isnt wine fore loosers? why not use linux editor
113953 Francisco :  Nicki: does rc.local run after network or before?
113959 Lianne :  Arlie, yeah, i think so too, but at least its more implicit now
113959 Tonita :  Laurene: you'll have to forgive me as I only vaguely get that probably.  haven't played half life 2 and all.
113962 Lourdes :  Laurene: because I can't find one that can find & replace multiple lines at once, do you know any
113966 Lourdes :  ?
113977 Laurene :  Lourdes: I use sed for that purpose
113983 Lourdes :  Laurene: sed's no GUI editor
113984 Arlie :  Lianne, they are the wizard of oz, behind the curtain, pushing the buttons and pulling the levers
113986 Laurene :  or vim  s/foo/bar/g
113997 Laurene :  actually... ANY editor have Replace All command...
113997 Glynda *  entered the room.
114000 Lourdes :  Laurene: multiple lines? that can't do multiple lines as far as I know :P
114000 Lianne :  you said it brother!
114006 Laurene :  try Eclipser
114014 Anya :  Tonita: nope
114020 Laurene :  or vim or emacs
114065 Lourdes :  Laurene: vim/emacs are for astronauts, there's no way I can learn how to use that just to do a simple task -.-' I'll try Eclipser as you said :P
114073 Lianne :  God bless anyone who still uses emacs
114080 Harold *  left the room (quit: "Leaving").
114093 Laurene :  Lourdes: vim takes a month - or a weak of intensive learning
114096 Laurene :  week
114109 Lianne :  for find and replace?
114109 Lourdes :  Laurene: I need to do this for tomorrow =)
114120 Laurene :  ok ;) so next timethen
114121 Lucretia *  entered the room.
114139 Lucretia :  How much can .tar.gz reduce file size?
114144 Rodolfo *  entered the room.
114154 Lianne :  not more than tar.bz can
114187 Lianne :  or tar.bz2 even
114191 Jesse :  Lucretia: tar not at all, gzip varies according to the amount of redundancy in the material to be compressed ;)
114204 Arlinda *  left the room ("Coming Back").
114204 Arlinda *  entered the room.
114217 Kizzy *  left the room (quit: Read error: 110 (Connection timed out)).
114218 Jesse :  and other factors, but that's the main one
114230 Lucretia :  Hmm
114231 Lianne :  You can tar.bz2 a 300gb file into a few kb
114240 Lianne :  (if the file is full of 0s)
114247 Lucretia :  I'm tar.gz a full web-hosting home directory
114259 Lianne :  tar.bz2 it
114262 Lucretia :  what would the general range of that be?
114270 Lucretia :  Lianne, not possible at the moment
114274 Lianne :  80%
114283 Jesse :  Lucretia: depends ;)
114294 Jesse :  Lucretia: text compresses well, jpegs not at al
114296 Jesse :  ll
114298 Lucretia :  80% of the original size?
114299 Jesse :  ugh
114302 Lianne :  yeah
114311 Lucretia :  Thanks
114355 Jesse :  Lucretia: ditto pngs and gifs, as they are already compressed
114362 Lucretia :  Yeah
114405 Gia :  the only types of graphics that will compress are .bmp and uncompressed .tif and maybe a small numbers of others
114405 Willene *  entered the room.
114428 Hiedi *  entered the room.
114496 Lianne :  png can also be compressed, but not if your already using png compression
114514 Darline *  entered the room.
114553 Lashawna :  can you use ssh to transfer files?
114559 Lianne :  scp
114578 Lianne :  rsync even, both use ssh protocol
114589 Raquel *  entered the room.
114624 Raquel :  hey guys!  do you know of any calendar and agenda program that works in a terminal (ie via ssh) ?
114639 Shira :  It's not entierly true, tar,bz2 .rar and her others might compress the image a bit further. As the algos works in different ways.
114663 Lianne :  Lashawna, scp root@my-friends-house:/home/mike/porno/Gia.jpg /home/Lashawna/porno/
114710 Jeffry *  entered the room.
114725 Jeffry :  hi. how do i check if i have internet connection?
114728 Velva *  entered the room.
114732 Lianne :  Compression is an art, ive studied quite a bit of it, but my knowledge is pre-2000 jpeg type of knowledge
114741 Velva :  whats the app that routes a serial console to tcp/ip ?
114744 Jeffry :  in linux?
114745 Lianne :  ping google.com
114756 Madison *  entered the room.
114783 Raquel :  Jeffry, try /sbin/ifconfig (to see if you have an ip, then try ping your gateway, then ping google)
114794 Frida *  left the room (quit: "gone").
114798 Lianne :  Velva, a combo of minicom and ssh?
114816 Arnetta *  entered the room.
114831 Troy *  entered the room.
114834 Laurene :  whatever happened to jpeg2000
114850 Jeffry :  how do i check if my mouse is working correctly?
114859 Laurene :  Jeffry: move it
114868 Jeffry :  when i move it to the right, its not moving. when i lean it to the left, its going left
114871 Laurene :  Capt. Obvious helps again
114880 Velva :  Lianne, yes .. that works. .. but i dont need minicom do i ... can just use /dev/ttyso
114886 Velva :  ?
114888 Laurene :  Jeffry: Your mouse is not working correctly.
114891 Laurene :  Capt. Obvious helps yet again
114897 Jeffry :  Laurene : thanks! that helps
114903 Laurene :  Obviously
114924 Lianne :  Velva, how would you connect to serial otherwise?
114938 Leola *  entered the room.
114958 Jeffry *  left the room (quit: Client Quit).
114959 Laurene :  Jeffry: regarding checking if you have internet connection - try downloading some porn from Internet
114972 Lianne :  Laurene, it was redesigned to use wavelets (jpeg2000 used fourier series)
114981 Velva :  instead of minicom, ctrl-alt f4 ... but for serial ?
114995 Lianne :  (which caused, bleeding between contrasting colours)
115017 Avery *  entered the room.
115041 Lianne :  Velva, are you confusing pts for tty?
115043 Madison :  any reaon to use apache over lighttpd ?
115056 Penelope *  left the room (quit: Read error: 110 (Connection timed out)).
115061 Arianne *  left the room (quit: Read error: 110 (Connection timed out)).
115069 Penelope *  entered the room.
115091 Wanda *  entered the room.
115093 Colene :  stil compiling
115096 Raquel :  Madison, i don't see any reason to stray away from apache... '=|
115108 Gia :  Colene: older system?
115130 Kori *  saw a 16 core machine today at the office
115139 Lura :   I noticed that /var/log/boot is not getting logged to when one of my machines boots up, any idea's why it isn't being logged to ?
115141 Gia :  Madison: i used apache for years. i now use lighttpd. i really like it. easier to configure, much faster, takes far less resources
115143 Mitzie *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
115158 Velva :  Lianne, yes I am .. but do I need minicom ?
115162 Lianne :  lighthttpd is single threaded ne pas?
115163 Mitzie *  entered the room.
115175 Gia :  i'm not sure
115177 Merna :  naaahhhaaaaa
115177 Laurene :  wow, jpeg2000 is OUTSTANDING
115181 Raquel :  Gia, apache can be set to use less resources btw
115182 Laurene :  http://en.wikipedia.org/wiki/Image:JPEG_2000_Artifacts_Demonstration.png
115194 Laurene :  100x compression (1% of oryginal) and still is ok !!!!
115195 Leola *  left the room (quit: Client Quit).
115203 Madison :  Gia: the app i am installing uses a mod rewrite for apache
115208 Lianne :  Velva, if you want to connect to a serial device (not CTL+ALT+F1,2,3..) then you need minicom, if you want to take over a pts, you might look into screen
115211 Madison :  so i kinda got to use apache
115230 Gia :  Raquel: it can. i'm experienced in such things, and it's a royal pain. light just comes out of the box taking far less. worksforme
115240 Gia :  Madison: so does the app i use, gallery, but I was able to get it to work with it
115243 Colene :  its a 2 ghz
115263 Madison :  Gia: i dont knwo the equivalent
115272 Raquel :  Gia, I've taken a couple minutes to make a good httpd.conf, then emailed it to my gmail, now I will always an easy and efficient apache
115278 Gia :  Madison: probably a good question for #lighttpd , i forget how i did it
115286 Gia :  Raquel: ok, works for you, doesn't work for me
115293 Raquel :  Gia, but i agree about the "out of the box" easyness
115294 Lianne :  emailed it , haha
115297 Velva :  oh so console>screen uses pts
115322 Raquel :  Lianne, yea, in case there is an earthquake and my hd, backup and cd backup all die
115339 Na *  entered the room.
115348 Lianne :  exactly when that httpd.conf comes in handy
115363 Georgina :  you can get arrested for flash dance
115367 Na :  ayuda en espa?ol
115373 Madison :  Gia: i will get lighttpd working later let me get apache up and atleast make sure the app works
115375 Novella *  entered the room.
115378 Novella :  hello
115387 Lourdes *  left the room.
115396 Madison :  whats a good FTP client for windows ??
115401 Raquel :  Lianne, well if there was such an earthquake in canada, of course I would be blogging about it! ;)
115412 Gia :  Madison: try asking ##windows
115423 Alisa :  Georgina: what..?
115424 Madison :  i love liinux server wise
115428 Madison :  but right now im using windows
115432 Georgina :  Alisa: hello
115435 Bobette *  entered the room.
115437 Raquel :  Madison, btw, "ftp" is a recognized command in dos
115439 Priscila :  Madison: idiot.
115440 Gia :  yep, i know, hence, ask ##windows , we jus twon't know
115445 Marcel *  entered the room.
115447 Madison :  Priscila: ???????????????????/
115460 Hildegard :  windows CLI ftp doesn't support passive ftp.
115463 Novella :  Priscila, , you are mean
115466 Madison :  naw
115472 Madison :  he hates me casue i live in america
115476 Georgina :  thats from back to the future
115485 Oretha :  Is there any FOSS toll to convert psd [photoshop] files to gifs/jpegs?
115497 Georgina :  hello hello anyone home
115500 Alisa :  Oretha: the gimp can do it.
115500 Gia :  ncftp is a good console client for linux, i would not be surprised if there is a windows version
115503 Lianne :  Cant the gimper open psd?
115505 Billi *  entered the room.
115512 Raquel :  so nice, amazon just made another record for me: 36 hours from order to arrival!
115534 Gia :  Oretha: gimp can open some of them, and from there you could save as whatever you want
115542 Georgina :  Madison: use the cli ftp
115551 Raquel :  Lianne, i had trouble with that, it depends a lot (used to work with designers)
115588 Kori *  was never 1337 enough to use photoshop
115592 Raquel :  Lianne, those containing slicing information will not open if i remember right (that was about 6 months ago)
115602 Georgina :  maya is the way to go
115619 Alisa :  Madison: WinSCP for SCP and SFTP, I wouldn't be surprised if it did FTP too.
115620 Kaci *  entered the room.
115624 Lianne :  and After Effects
115634 Vito *  left the room (quit: Nick collision from services.).
115662 Georgina :  you can also use blender
115666 Lashawna *  left the room (quit: No route to host).
115669 Bobette *  is now known as Bobette
115734 Lianne :  Blender is the bomb, i wish i had patience though
115761 Renetta *  left the room (quit: "Leaving").
115762 Michiko *  entered the room.
115773 Na *  left the room (quit: ).
115793 Jesse :  Oretha: gimp can read 'em IIRC, perhaps imagemagick also
115809 Anya :  how can one easily set up a chroot? (I haven't found anything simple on google... link?)
115814 Jesse :  Oretha: imagemagick would be handier (no cumbersome gui)
115837 Leola *  entered the room.
115846 Leola *  left the room (quit: Client Quit).
115846 Jesse :  Anya: tldp.org will have a howto, I expect
115860 Alisa *  left the room (quit: "leaving").
115866 Dreama *  left the room (quit: "Leaving").
115886 Chau *  entered the room.
115893 Anya :  Horacio: hmmm... thanks
115906 Tobias *  left the room (quit: Remote closed the connection).
115916 Moon *  entered the room.
115929 Oretha :  gimp can't handle CS2 files, appearently
115943 Anya :  Horacio: nope :( http://tldp.org/cgi-bin/ldpsrch.cgi?svr=http://tldp.org&q=chroot&hl=en&lr=&ie=UTF-8&cof=S:http://www.tldp.org%3BL:http://tldp.org/images/ldp.gif%3BLH:120%3BLW:300%3BBGC:%23AAAAAA%3BLC:%23003355%3B&domains=www.tldp.org&sitesearch=www.tldp.org&start=0&sa=N
115972 Jesse :  why are you pasting all that crap in here, to me?
115978 Sandy *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
115981 Moon *  is now known as Moon
115988 Gia :  yeah try something like tinyurl.com
116012 Jesse :  Anya: or don't paste such an absurdity at all
116019 Na *  entered the room.
116019 Oretha :  how do I use imagemagick?
116019 Anya :  Gia: sorry, didn't think it was that long
116026 Na :  help en centos
116032 Na :  con php
116034 Clemente *  left the room (quit: Read error: 110 (Connection timed out)).
116036 Anya :  yay! imagemagick
116065 Oretha :  Can't even figure out how to issue it
116078 Jesse :  Anya: there's a bind chroot tutorial there, in fact two
116091 Jesse :  Oretha: convert
116110 Oretha :  I want to watch, not convert :)
116121 Kimiko *  entered the room.
116137 Gia :  it probably can't deal with those either. the problem is the format you're trying to use is closed and proprietary. good luck.
116149 Whitley *  entered the room.
116153 Jesse :  Oretha: watch? I thought you wanted to do batch conversion
116153 Anya :  Oretha: display foo.png
116160 Whitley *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
116167 Anya :  oh, CS2... what makes those?
116167 Oretha :  Gia, how could gimp handle prior versions of PSD then?
116176 Raye *  entered the room.
116182 Oretha :  I meant pdf files created using photoshop CS2
116182 Jesse :  RE'd? who knows?
116186 Raye *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
116186 Kimiko *  left the room (quit: Client Quit).
116190 Vernita *  entered the room.
116192 Oretha :  *psd
116195 Graciela :  Good evening
116215 Jesse :  Oretha: why not export them as something sane?
116226 Leonarda *  left the room (quit: "Leaving").
116244 Oretha :  Horacio, what's wrong with psd?
116247 Shella *  entered the room.
116280 Jesse :  Oretha: closed, proprietary, secret, evil, ... need I go on? ;)
116298 Laurene :  what ever happened to quilzos
116299 Leola *  entered the room.
116304 Roger *  mumbles 'sklyariv'
116311 Jesse :  er, sklyarov
116328 Oretha :  Yeah, well, it's also standard, and the best one to use when printing shirts at the local print-a-shirt shack
116336 Jesse :  Laurene: his internets were taken away
116346 Jesse :  Oretha: they can't use pdf?
116358 Oretha :  Nope, trensperacy issues
116367 Garnet *  left the room (quit: "Oh, so thats what that thing does").
116371 Jesse :  Oretha: pretty stupid to 'standardise' on a secret file format
116373 Jesse :  Oretha: png
116402 Oretha :  png is a decent alternative, but psd works fine too, and it's not like anyone but me and the shirts guy is gonna see them
116415 Laurene :  Horacio: lol?
116417 Oretha :  I don't know how to use png well enough :/
116440 Filomena *  entered the room.
116444 Oretha :  And it's a shame, because it's probably the best format for storing digital images
116461 Filomena :  helo
116461 Leola *  left the room (quit: Client Quit).
116475 Jesse :  Laurene: true, I think - he didn't pay his isp, is what I heard
116478 Glynda *  left the room (quit: Remote closed the connection).
116488 Laurene :  Horacio: lol, why
116501 Oretha :  Do you know of any nice and enterterining game that can be played across LAN between a windows machine and a linux machine?
116509 Laurene :  Horacio: he wasnt like, assasinate by 1984node ninjas or something?
116510 Jesse :  Oretha: what's to know? pmg does alpha channel; OTOH, it doesn't do layers, but you don't need that
116517 Georgina :  xpilot
116531 Filomena :  xpilot hehe
116535 Oretha :  layers are mighty useful
116544 Leola *  entered the room.
116562 Jesse :  Oretha: you need separations?
116572 Oretha :  During the edit stage, yes
116577 Danette *  left the room (quit: Read error: 110 (Connection timed out)).
116591 Danette *  entered the room.
116597 Jesse :  Oretha: sure - gimp's native format supports layers and all sorts of stuff
116613 Oretha :  Yeah, but gimp is barely usable
116615 Jesse :  Oretha: then save as png for printing
116648 Gia :  gimp is fine, i've used it for rediculous ammounts of stuff
116653 Oretha :  That's the issue, I had no idea wether it's any good for printing purposes
116656 Gia :  maybe unusable for you
116665 Oretha :  We have a high budget graphic studio around here
116673 Jesse :  Oretha: I don't find it so; but this is irrelevant; just save your photoshop stuff as png when you're done
116679 Winter *  left the room (quit: Connection timed out).
116702 Jesse :  Oretha: png is fine for printing - why wouldn't it be?
116712 Oretha :  I dunno, a lot of formats aren't
116719 Laurene :  Oretha: what the hell
116733 Katie :  it depends what you mean by fine for printing
116749 Jesse :  Oretha: in what way?
116754 Oretha :  It has to use the same colour channels as the printing equipment, and have high DPI
116788 Oretha :  You can't print jpeg files if you want to get a fine result
116801 Na *  left the room (quit: ).
116802 Jesse :  Oretha: no, jpeg is lossy compression
116807 Chanelle *  left the room ("Leaving").
116814 Gia :  you could use uncompressed tiff and be fine
116815 Julius *  entered the room.
116817 Katie :  DPI isn't really a huge issue, thats just a case of how big you decide to make the pixels at print time. Its the colour channels that are the big deal for those in proffesional printing.
116819 Tomoko *  entered the room.
116831 Krystina *  entered the room.
116834 Gia :  dpi is a huge issue in printing
116851 Oretha :  Well, I'm not in proffesional printing, but my mom is, so I let her do that stuff for me to get optimal resulst :)
116862 Glynda *  entered the room.
116872 Oretha :  But then again, she has no reason to use PNG, she paid good money for her copy of CS2
116885 Katie :  sure but its not really an issue with the format, as long as the format lets you make arbiterally large images and the printer knows what size to print it at the format doesn't have to get involved with DPI
116898 Riva *  left the room (quit: ).
116922 Gia :  anyway to make life easier in the future don't use proprietary formats... locks you in, as you can see
116945 Brinda *  left the room (quit: "Demetra").
116951 Oretha :  Katie, yeah, I know, the main issue is that I had no idea is capable for arbitrary DPI values, or it's stuck on 72 dpi
116952 Madison *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
116960 Laurene :  I would people could un-do flash format and player.
116963 Laurene :  *wish
116983 Filomena :  d
116985 Gia :  or get rid of it period... annoying
116987 Laurene :  flash - the most sucking thing in Internet, since IE
116995 Katie :  Oretha png doesn't care about dpi, a png is just a grid of pixels what size those pixels are shown at is up to the application interpreting it
117002 Oretha :  flash itself is nice, it's just being abuesd
117018 Laurene :  Oretha: flash is horrible since its closed - so I can play it on regular linux
117025 Laurene :  can't
117027 Gia :  amen
117029 Eartha *  left the room (quit: Nick collision from services.).
117035 Pansy *  entered the room.
117037 Jesse :  Laurene: gnash
117051 Laurene :  Horacio: does it play even youtube?
117063 Rodolfo :  Laurene: soon
117065 Laurene :  the free player plugin in debian fails even for simple youtube video
117067 Katie :  if by regular linux you mean lintel than firefox has no trouble fetching the flash plugin, those with other architectures are out of luck though
117069 Jesse :  Laurene: not sure if it does yet, ask in #gnash perhaps
117072 Sammy *  entered the room.
117078 Sunni *  entered the room.
117087 Laurene :  Katie: I dont like propertiary closed program in my system
117088 Merna :  let it rain down love
117092 Betsey *  left the room (quit: Remote closed the connection).
117103 Laurene :  Gia: Merna is splitting non-sense for some time, probably a bot
117115 Jesse :  Laurene: you'll need cvs/svn gnash, it's 'under heavy development'
117117 Rodolfo :  gnash is going to play flv videos throw gstreamer i think
117120 Katie :  If you are designing for a CMYK process you really want to produce your output in CMYK. Not produce it in RGB and hope it gets converted right. That means you can't use PNG You can use TIFF though.
117131 Troy *  left the room (quit: "Leaving").
117160 Oretha :  I don't know wether they use CMYK or RGB
117178 Oretha :  But they do use photoshop, so they could set the proper color scheme
117205 Jesse :  Oretha: pantone?
117283 Julio *  entered the room.
117284 Estelle *  shruggs
117292 Oretha :  So how about that crazy-ass weather?
117300 Maynard *  left the room (quit: Connection reset by Brandie).
117307 Tess *  left the room (quit: Read error: 110 (Connection timed out)).
117312 Junie *  entered the room.
117338 Kemberly *  entered the room.
117347 Maynard *  entered the room.
117384 Merna :  sh plugit.sh ???
117389 Oretha :  I bought myself a new laptop today
117397 Kemberly :  does anyone know if usb audio devices need the computer's internal sound card in order to function?
117414 Oretha :  Kemberly, what cand of audio device?
117423 Oretha :  *kind, sorry
117451 Kemberly :  Oretha: any usb speaker basically, I am considering purchasing one for an older computer that seems to have a dead sound card
117464 Oretha :  A speaker requires a soundcard, yeah
117465 Laurene :  usb... speaker? wtf
117503 Kemberly :  Oretha: so it wouldn't have its own soundcard built into the usb device? because I have seen usb speakers that claim to be a sound card
117503 Oretha :  Laurene, they exist
